Name	Description	Company	Type no	no of channels
GER 3700	GER 3700	GER	3700	647
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
390	892.805	2
391	894.375	2
392	895.94	2
393	897.505	2
394	899.075	2
395	900.645	2
396	902.215	2
397	903.79	2
398	905.355	2
399	906.93	2
400	908.5	2
401	910.075	2
402	911.645	2
403	913.22	2
404	914.795	2
405	916.37	2
406	917.945	2
407	919.525	2
408	921.1	2
409	922.675	2
410	924.255	2
411	925.835	2
412	927.415	2
413	928.995	2
414	930.58	2
415	932.16	2
416	933.74	2
417	935.325	2
418	936.91	2
419	938.495	2
420	940.08	2
421	941.665	2
422	943.25	2
423	944.84	2
424	946.425	2
425	948.015	2
426	949.605	2
427	951.195	2
428	952.78	2
429	954.375	2
430	955.97	2
431	957.56	2
432	959.15	2
433	960.745	2
434	962.34	2
435	963.935	2
436	965.535	2
437	967.125	2
438	968.72	2
439	970.32	2
440	971.92	2
441	973.52	2
442	975.12	2
443	976.72	2
444	978.32	2
445	979.92	2
446	981.52	2
447	983.12	2
448	984.725	2
449	986.33	2
450	987.935	2
451	989.54	2
452	991.14	2
453	992.75	2
454	994.355	2
455	995.96	2
456	997.57	2
457	999.175	2
458	1008.235	2
459	1017.82	2
460	1027.36	2
461	1036.855	2
462	1046.315	2
463	1055.73	2
464	1065.105	2
465	1074.44	2
466	1083.73	2
467	1092.98	2
468	1102.195	2
469	1111.365	2
470	1120.49	2
471	1129.575	2
472	1138.625	2
473	1147.63	2
474	1156.59	2
475	1165.51	2
476	1174.395	2
477	1183.23	2
478	1192.03	2
479	1200.785	2
480	1209.5	2
481	1218.18	2
482	1226.81	2
483	1235.405	2
484	1243.95	2
485	1252.465	2
486	1260.93	2
487	1269.36	2
488	1277.745	2
489	1286.09	2
490	1294.395	2
491	1302.655	2
492	1310.875	2
493	1319.055	2
494	1327.195	2
495	1335.29	2
496	1343.345	2
497	1351.365	2
498	1359.335	2
499	1367.27	2
500	1375.155	2
501	1383.01	2
502	1390.82	2
503	1398.585	2
504	1406.31	2
505	1413.99	2
506	1421.64	2
507	1429.24	2
508	1436.8	2
509	1444.32	2
510	1451.795	2
511	1459.235	2
512	1466.63	2
513	1473.985	2
514	1481.295	2
515	1488.565	2
516	1495.795	2
517	1502.985	2
518	1510.135	2
519	1517.24	2
520	1524.305	2
521	1531.33	2
522	1538.31	2
523	1545.255	2
524	1552.155	2
525	1559.01	2
526	1565.83	2
527	1572.6	2
528	1579.335	2
529	1586.03	2
530	1592.685	2
531	1599.295	2
532	1605.86	2
533	1612.39	2
534	1618.875	2
535	1625.32	2
536	1631.72	2
537	1638.085	2
538	1644.41	2
539	1650.685	2
540	1656.925	2
541	1663.115	2
542	1669.275	2
543	1675.39	2
544	1681.46	2
545	1687.49	2
546	1693.48	2
547	1699.43	2
548	1705.335	2
549	1711.2	2
550	1717.025	2
551	1722.81	2
552	1728.545	2
553	1734.245	2
554	1739.905	2
555	1745.52	2
556	1751.095	2
557	1756.63	2
558	1762.12	2
559	1767.57	2
560	1772.985	2
561	1778.35	2
562	1783.675	2
563	1788.965	2
564	1794.21	2
565	1799.41	2
566	1804.57	2
567	1809.685	2
568	1814.77	2
569	1819.805	2
570	1824.8	2
571	1829.75	2
572	1834.665	2
573	1839.535	2
574	1844.36	2
575	1849.15	2
576	1853.895	2
577	1858.6	2
578	1863.265	2
579	1867.885	2
580	1872.465	2
581	1877.005	2
582	1881.5	2
583	1885.955	2
584	1902.89	2
585	1913.84	2
586	1924.745	2
587	1935.605	2
588	1946.415	2
589	1957.18	2
590	1967.895	2
591	1978.565	2
592	1989.19	2
593	1999.765	2
594	2010.295	2
595	2020.77	2
596	2031.205	2
597	2041.595	2
598	2051.935	2
599	2062.23	2
600	2072.475	2
601	2082.67	2
602	2092.825	2
603	2102.935	2
604	2112.985	2
605	2123	2
606	2132.96	2
607	2142.88	2
608	2152.745	2
609	2162.575	2
610	2172.345	2
611	2182.07	2
612	2191.755	2
613	2201.385	2
614	2210.975	2
615	2220.515	2
616	2230.01	2
617	2239.455	2
618	2248.855	2
619	2258.205	2
620	2267.51	2
621	2276.765	2
622	2285.975	2
623	2295.14	2
624	2304.255	2
625	2313.32	2
626	2322.345	2
627	2331.32	2
628	2340.245	2
629	2349.13	2
630	2357.965	2
631	2366.75	2
632	2375.485	2
633	2384.18	2
634	2392.825	2
635	2401.425	2
636	2409.97	2
637	2418.48	2
638	2426.93	2
639	2435.34	2
640	2443.705	2
641	2452.02	2
642	2460.29	2
643	2468.51	2
644	2476.685	2
645	2484.81	2
646	2492.895	2
647	2500.925	2
