Name	Description	Company	Type no	no of channels
SVC HR-1024	Spectra Vista HR-1024	Spectra Vista	1024	1024
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
353	840	3.5
354	841.1	3.5
355	842.3	3.5
356	843.5	3.5
357	844.7	3.5
358	845.9	3.5
359	847.1	3.5
360	848.2	3.5
361	849.4	3.5
362	850.6	3.5
363	851.8	3.5
364	853	3.5
365	854.1	3.5
366	855.3	3.5
367	856.5	3.5
368	857.6	3.5
369	858.8	3.5
370	859.9	3.5
371	861.1	3.5
372	862.3	3.5
373	863.4	3.5
374	864.6	3.5
375	865.7	3.5
376	866.9	3.5
377	868	3.5
378	869.2	3.5
379	870.3	3.5
380	871.5	3.5
381	872.6	3.5
382	873.7	3.5
383	874.9	3.5
384	876	3.5
385	877.1	3.5
386	878.3	3.5
387	879.4	3.5
388	880.5	3.5
389	881.7	3.5
390	882.8	3.5
391	883.9	3.5
392	885	3.5
393	886.2	3.5
394	887.3	3.5
395	888.4	3.5
396	889.5	3.5
397	890.6	3.5
398	891.7	3.5
399	892.9	3.5
400	894	3.5
401	895.1	3.5
402	896.2	3.5
403	897.3	3.5
404	898.4	3.5
405	899.5	3.5
406	900.6	3.5
407	901.7	3.5
408	902.8	3.5
409	903.9	3.5
410	905	3.5
411	906	3.5
412	907.1	3.5
413	908.2	3.5
414	909.3	3.5
415	910.4	3.5
416	911.5	3.5
417	912.6	3.5
418	913.6	3.5
419	914.7	3.5
420	915.8	3.5
421	916.9	3.5
422	917.9	3.5
423	919	3.5
424	920.1	3.5
425	921.1	3.5
426	922.2	3.5
427	923.3	3.5
428	924.4	3.5
429	925.4	3.5
430	926.5	3.5
431	927.5	3.5
432	928.6	3.5
433	929.6	3.5
434	930.7	3.5
435	931.8	3.5
436	932.8	3.5
437	933.9	3.5
438	934.9	3.5
439	936	3.5
440	937	3.5
441	938.1	3.5
442	939.1	3.5
443	940.2	3.5
444	941.2	3.5
445	942.2	3.5
446	943.3	3.5
447	944.3	3.5
448	945.4	3.5
449	946.4	3.5
450	947.4	3.5
451	948.5	3.5
452	949.5	3.5
453	950.5	3.5
454	951.6	3.5
455	952.6	3.5
456	953.6	3.5
457	954.7	3.5
458	955.7	3.5
459	956.7	3.5
460	957.8	3.5
461	958.8	3.5
462	959.8	3.5
463	960.8	3.5
464	961.9	3.5
465	962.9	3.5
466	963.9	3.5
467	964.9	3.5
468	966	3.5
469	967	3.5
470	968	3.5
471	969	3.5
472	970	3.5
473	971.1	3.5
474	972.1	3.5
475	973.1	3.5
476	974.1	3.5
477	975.1	3.5
478	976.2	3.5
479	977.2	3.5
480	978.2	3.5
481	979.2	3.5
482	980.2	3.5
483	981.3	3.5
484	982.3	3.5
485	983.3	3.5
486	984.3	3.5
487	985.3	3.5
488	986.4	3.5
489	987.4	3.5
490	988.4	3.5
491	989.4	3.5
492	990.4	3.5
493	991.5	3.5
494	992.5	3.5
495	993.5	3.5
496	994.5	3.5
497	995.5	3.5
498	996.6	3.5
499	997.6	3.5
500	998.6	3.5
501	999.6	3.5
502	1000.7	8.5
503	1001.7	8.5
504	1002.7	8.5
505	1003.8	8.5
506	1004.8	8.5
507	1005.8	8.5
508	1006.8	8.5
509	1007.9	8.5
510	1008.9	8.5
511	1009.9	8.5
512	1011	8.5
513	946.8	8.5
514	950.7	8.5
515	954.5	8.5
516	958.4	8.5
517	962.3	8.5
518	966.2	8.5
519	970.1	8.5
520	973.9	8.5
521	977.8	8.5
522	981.7	8.5
523	985.6	8.5
524	989.4	8.5
525	993.3	8.5
526	997.2	8.5
527	1001.1	8.5
528	1004.9	8.5
529	1008.8	8.5
530	1012.7	8.5
531	1016.5	8.5
532	1020.4	8.5
533	1024.3	8.5
534	1028.2	8.5
535	1032	8.5
536	1035.9	8.5
537	1039.8	8.5
538	1043.6	8.5
539	1047.5	8.5
540	1051.4	8.5
541	1055.2	8.5
542	1059.1	8.5
543	1063	8.5
544	1066.8	8.5
545	1070.7	8.5
546	1074.5	8.5
547	1078.4	8.5
548	1082.3	8.5
549	1086.1	8.5
550	1090	8.5
551	1093.8	8.5
552	1097.7	8.5
553	1101.6	8.5
554	1105.4	8.5
555	1109.3	8.5
556	1113.1	8.5
557	1117	8.5
558	1120.8	8.5
559	1124.7	8.5
560	1128.5	8.5
561	1132.4	8.5
562	1136.2	8.5
563	1140.1	8.5
564	1143.9	8.5
565	1147.8	8.5
566	1151.6	8.5
567	1155.4	8.5
568	1159.3	8.5
569	1163.1	8.5
570	1167	8.5
571	1170.8	8.5
572	1174.6	8.5
573	1178.5	8.5
574	1182.3	8.5
