Name	Description	Company	Type no	no of channels
OOHR_VNIR	Ocean Optics High Resolution VNIR	OceanOptics	4	3845
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
348	281.28	0.5
349	281.52	0.5
350	281.76	0.5
351	282	0.5
352	282.24	0.5
353	282.48	0.5
354	282.72	0.5
355	282.96	0.5
356	283.2	0.5
357	283.44	0.5
358	283.68	0.5
359	283.92	0.5
360	284.16	0.5
361	284.4	0.5
362	284.64	0.5
363	284.88	0.5
364	285.12	0.5
365	285.36	0.5
366	285.6	0.5
367	285.84	0.5
368	286.08	0.5
369	286.32	0.5
370	286.56	0.5
371	286.8	0.5
372	287.04	0.5
373	287.28	0.5
374	287.52	0.5
375	287.76	0.5
376	288	0.5
377	288.24	0.5
378	288.48	0.5
379	288.72	0.5
380	288.96	0.5
381	289.2	0.5
382	289.44	0.5
383	289.68	0.5
384	289.92	0.5
385	290.16	0.5
386	290.4	0.5
387	290.64	0.5
388	290.88	0.5
389	291.12	0.5
390	291.36	0.5
391	291.6	0.5
392	291.84	0.5
393	292.08	0.5
394	292.32	0.5
395	292.56	0.5
396	292.8	0.5
397	293.04	0.5
398	293.28	0.5
399	293.52	0.5
400	293.76	0.5
401	294	0.5
402	294.24	0.5
403	294.48	0.5
404	294.72	0.5
405	294.96	0.5
406	295.2	0.5
407	295.44	0.5
408	295.68	0.5
409	295.92	0.5
410	296.16	0.5
411	296.4	0.5
412	296.64	0.5
413	296.88	0.5
414	297.12	0.5
415	297.36	0.5
416	297.6	0.5
417	297.84	0.5
418	298.08	0.5
419	298.32	0.5
420	298.56	0.5
421	298.8	0.5
422	299.04	0.5
423	299.28	0.5
424	299.52	0.5
425	299.76	0.5
426	300	0.5
427	300.24	0.5
428	300.48	0.5
429	300.72	0.5
430	300.96	0.5
431	301.2	0.5
432	301.44	0.5
433	301.68	0.5
434	301.92	0.5
435	302.16	0.5
436	302.4	0.5
437	302.64	0.5
438	302.88	0.5
439	303.12	0.5
440	303.36	0.5
441	303.6	0.5
442	303.84	0.5
443	304.08	0.5
444	304.32	0.5
445	304.56	0.5
446	304.8	0.5
447	305.04	0.5
448	305.28	0.5
449	305.52	0.5
450	305.76	0.5
451	306	0.5
452	306.24	0.5
453	306.48	0.5
454	306.72	0.5
455	306.96	0.5
456	307.2	0.5
457	307.44	0.5
458	307.68	0.5
459	307.92	0.5
460	308.16	0.5
461	308.4	0.5
462	308.64	0.5
463	308.88	0.5
464	309.12	0.5
465	309.36	0.5
466	309.6	0.5
467	309.84	0.5
468	310.08	0.5
469	310.32	0.5
470	310.56	0.5
471	310.8	0.5
472	311.04	0.5
473	311.28	0.5
474	311.52	0.5
475	311.76	0.5
476	312	0.5
477	312.24	0.5
478	312.48	0.5
479	312.72	0.5
480	312.96	0.5
481	313.2	0.5
482	313.44	0.5
483	313.68	0.5
484	313.92	0.5
485	314.16	0.5
486	314.4	0.5
487	314.64	0.5
488	314.88	0.5
489	315.12	0.5
490	315.36	0.5
491	315.6	0.5
492	315.84	0.5
493	316.08	0.5
494	316.32	0.5
495	316.56	0.5
496	316.8	0.5
497	317.04	0.5
498	317.28	0.5
499	317.52	0.5
500	317.76	0.5
501	318	0.5
502	318.24	0.5
503	318.48	0.5
504	318.72	0.5
505	318.96	0.5
506	319.2	0.5
507	319.44	0.5
508	319.68	0.5
509	319.92	0.5
510	320.16	0.5
511	320.4	0.5
512	320.64	0.5
513	320.88	0.5
514	321.12	0.5
515	321.36	0.5
516	321.6	0.5
517	321.84	0.5
518	322.08	0.5
519	322.32	0.5
520	322.56	0.5
521	322.8	0.5
522	323.04	0.5
523	323.28	0.5
524	323.52	0.5
525	323.76	0.5
526	324	0.5
527	324.24	0.5
528	324.48	0.5
529	324.72	0.5
530	324.96	0.5
531	325.2	0.5
532	325.44	0.5
533	325.68	0.5
534	325.92	0.5
535	326.16	0.5
536	326.4	0.5
537	326.64	0.5
538	326.88	0.5
539	327.12	0.5
540	327.36	0.5
541	327.6	0.5
542	327.84	0.5
543	328.08	0.5
544	328.32	0.5
545	328.56	0.5
546	328.8	0.5
547	329.04	0.5
548	329.28	0.5
549	329.52	0.5
550	329.76	0.5
551	330	0.5
552	330.24	0.5
553	330.48	0.5
554	330.72	0.5
555	330.96	0.5
556	331.2	0.5
557	331.44	0.5
558	331.68	0.5
559	331.92	0.5
560	332.16	0.5
561	332.4	0.5
562	332.64	0.5
563	332.88	0.5
564	333.12	0.5
565	333.36	0.5
566	333.6	0.5
567	333.84	0.5
568	334.08	0.5
569	334.32	0.5
570	334.56	0.5
571	334.8	0.5
572	335.04	0.5
573	335.28	0.5
574	335.52	0.5
575	335.76	0.5
