Name	Description	Company	Type no	no of channels
APOGEE PAR-NIR	APOGEE PAR-NIR	APOGEE	100	1100
Band	Average Wavelength (nm)	Full Width at Half the Maximum FWHM (nm)		
388	593.5	0.5
389	594	0.5
390	594.5	0.5
391	595	0.5
392	595.5	0.5
393	596	0.5
394	596.5	0.5
395	597	0.5
396	597.5	0.5
397	598	0.5
398	598.5	0.5
399	599	0.5
400	599.5	0.5
401	600	0.5
402	600.5	0.5
403	601	0.5
404	601.5	0.5
405	602	0.5
406	602.5	0.5
407	603	0.5
408	603.5	0.5
409	604	0.5
410	604.5	0.5
411	605	0.5
412	605.5	0.5
413	606	0.5
414	606.5	0.5
415	607	0.5
416	607.5	0.5
417	608	0.5
418	608.5	0.5
419	609	0.5
420	609.5	0.5
421	610	0.5
422	610.5	0.5
423	611	0.5
424	611.5	0.5
425	612	0.5
426	612.5	0.5
427	613	0.5
428	613.5	0.5
429	614	0.5
430	614.5	0.5
431	615	0.5
432	615.5	0.5
433	616	0.5
434	616.5	0.5
435	617	0.5
436	617.5	0.5
437	618	0.5
438	618.5	0.5
439	619	0.5
440	619.5	0.5
441	620	0.5
442	620.5	0.5
443	621	0.5
444	621.5	0.5
445	622	0.5
446	622.5	0.5
447	623	0.5
448	623.5	0.5
449	624	0.5
450	624.5	0.5
451	625	0.5
452	625.5	0.5
453	626	0.5
454	626.5	0.5
455	627	0.5
456	627.5	0.5
457	628	0.5
458	628.5	0.5
459	629	0.5
460	629.5	0.5
461	630	0.5
462	630.5	0.5
463	631	0.5
464	631.5	0.5
465	632	0.5
466	632.5	0.5
467	633	0.5
468	633.5	0.5
469	634	0.5
470	634.5	0.5
471	635	0.5
472	635.5	0.5
473	636	0.5
474	636.5	0.5
475	637	0.5
476	637.5	0.5
477	638	0.5
478	638.5	0.5
479	639	0.5
480	639.5	0.5
481	640	0.5
482	640.5	0.5
483	641	0.5
484	641.5	0.5
485	642	0.5
486	642.5	0.5
487	643	0.5
488	643.5	0.5
489	644	0.5
490	644.5	0.5
491	645	0.5
492	645.5	0.5
493	646	0.5
494	646.5	0.5
495	647	0.5
496	647.5	0.5
497	648	0.5
498	648.5	0.5
499	649	0.5
500	649.5	0.5
501	650	0.5
502	650.5	0.5
503	651	0.5
504	651.5	0.5
505	652	0.5
506	652.5	0.5
507	653	0.5
508	653.5	0.5
509	654	0.5
510	654.5	0.5
511	655	0.5
512	655.5	0.5
513	656	0.5
514	656.5	0.5
515	657	0.5
516	657.5	0.5
517	658	0.5
518	658.5	0.5
519	659	0.5
520	659.5	0.5
521	660	0.5
522	660.5	0.5
523	661	0.5
524	661.5	0.5
525	662	0.5
526	662.5	0.5
527	663	0.5
528	663.5	0.5
529	664	0.5
530	664.5	0.5
531	665	0.5
532	665.5	0.5
533	666	0.5
534	666.5	0.5
